Title	URL	Assignees	Status	Estimated size	Real size	Labels	Merge Status	Priority
Unify the Upload Pages	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/130	slnkahveci	In Progress			Sprint 8		
Ingestion endpoint (/ingestion/corpora/{corpus_id}/upload) returns status ok even if error happens	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/110	julianlucawendlandt-jpg	In Progress					
Refactor Transcript ingestion/saving to reduce complexity	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/129	julianlucawendlandt-jpg	Awaiting Review	5			Merged	High Priority
Delete Transkript	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/136	ClimbTheGrind, Wecoreator	Awaiting Review	3		Corpus Management, Sprint 8	Merged	
Delete Demographic Data	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/137	ClimbTheGrind, paulKlarer	Awaiting Review	3		Corpus Management, Sprint 8	Merged	
Delete Codebook	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/135	ClimbTheGrind, paulKlarer	Awaiting Review	3		Corpus Management, Sprint 8	Merged	
Parallelization for codebook generation	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/120	Wecoreator	Awaiting Review			Sprint 7, System / AI Processing	Merged	
setup.ps1 doesnt work for powershell 5	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/141	Wecoreator	Awaiting Review			Sprint 9	Merged	
Remove Frontend references from Backend	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/109	annus3	Awaiting Review					
Setup Frontend	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/57	annus3, slnkahveci	Feature Archive	8	8	Set Up, Sprint 4, Sprint 5	Merged	High Priority
Implement Automatic Codebook Generation	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/86	julianlucawendlandt-jpg, Wecoreator	Feature Archive	5	5	Sprint 6, System / AI Processing		High Priority
Export Codebook	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/85	ClimbTheGrind	Feature Archive	2	2	Codebook, Sprint 6		
Demographic Data Upload Frontend	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/91	annus3, ClimbTheGrind, paulKlarer	Feature Archive	2	2	Corpus Management, Sprint 6		
Demographic Data Viewer Page	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/92	ClimbTheGrind, paulKlarer	Feature Archive	2	2	Corpus Management, Sprint 6		
Link Transcripts and Demographic Data	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/5	julianlucawendlandt-jpg, Wecoreator	Feature Archive	5	3	Corpus Management, Sprint 5		
Upload Demographic Data	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/3	julianlucawendlandt-jpg, Wecoreator	Feature Archive	3	5	Corpus Management, Sprint 4, Sprint 5		
Upload Transcripts	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/2	slnkahveci	Feature Archive	3	3	Corpus Management, Sprint 4		
Transcript text normalization	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/63	slnkahveci	Feature Archive	1		Corpus Management, Sprint 4		
Simple data persistence layer	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/39	julianlucawendlandt-jpg, Wecoreator	Feature Archive	5	6	Corpus Management, Sprint 3		
View Theme Overview	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/13	julianlucawendlandt-jpg, Wecoreator	Feature Archive	8	8	Corpus View, Sprint 3		
Select Coding Mode Frontend	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/7	slnkahveci	Feature Archive	3	3	Query & Analysis Initialization, Sprint 6		
Upload Predefined Codebook	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/9	ClimbTheGrind, paulKlarer	Feature Archive	3	5	Query & Analysis Initialization, Sprint 4, Sprint 5		
Automated database structure setup	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/49	julianlucawendlandt-jpg, Wecoreator	Feature Archive		1	Query & Analysis Initialization, Sprint 3		
setup.ps1 -Rebuild flag fails	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/125	Wecoreator	Feature Archive			Set Up, Sprint 7		
CI/CD Pipeline GitHub Actions	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/96	Wecoreator	Feature Archive	1	3	Set Up, Sprint 6		
Integrate Frontend build into setup.sh script	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/94	hrasul	Feature Archive	1	1	Set Up, Sprint 6		
Implement Build Process	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/55	hrasul	Feature Archive	1	3	Set Up, Sprint 4		
Plan Build Process	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/43		Feature Archive	5		Set Up, Sprint 3		
Setup pytest container	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/51	julianlucawendlandt-jpg, Wecoreator	Feature Archive		1	Set Up, Sprint 3		
Create Project Logo	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/1	ClimbTheGrind	Feature Archive			good first issue, Sprint 1		
Select Open Source LLM for Generation Phase	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/21	ClimbTheGrind, paulKlarer	Feature Archive	3	5	Sprint 2		
Homework 2: Create PDF of software architecture description	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/34	julianlucawendlandt-jpg, slnkahveci	Feature Archive			documentation, Sprint 2		
Homework 2: Software bill of materials	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/32	Wecoreator	Feature Archive			documentation, Sprint 2		
Setting up the repository with FASTApi boiler plate code	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/35	hrasul	Feature Archive			Sprint 2, System / AI Processing		
